year,state,district,illness_category,cases,deaths
2025,Assam,Biswanath,Food-borne,18,0
2025,Bihar,Aurangabad,Other,21,0
2025,Bihar,Madhubani,Other,14,0
2025,Gujarat,Bhavnagar,Food-borne,20,0
2025,Gujarat,Vadodara,Water-borne,20,0
2025,Haryana,Yamunanagar,Food-borne,104,0
2025,Jharkhand,East Singhbum,Other,8,0
2025,Jharkhand,Giridih,Other,13,0
2025,Karnataka,Chikballapur,Water-borne,8,0
2025,Kerala,Kottayam,Food-borne,22,0
2025,Kerala,Palakkad,Other,1,0
2025,Kerala,Palakkad,Water-borne,27,0
2025,Kerala,Pathanamthitta,Food-borne,43,0
2025,Kerala,Thrissur,Water-borne,78,0
2025,Madhya Pradesh,Rewa,Water-borne,19,0
2025,Meghalaya,North Garo Hills,Other,12,0
2025,Meghalaya,West Jaintia Hills,Food-borne,32,0
2025,Odisha,Anugul,Water-borne,81,0
2025,Odisha,Bhadrak,Water-borne,5,0
2025,Odisha,Mayurbhanj,Food-borne,66,0
2025,Odisha,Sambalpur,Water-borne,24,0
2025,Puducherry,Pondicherry,Water-borne,20,0
2025,Tamil Nadu,Erode,Other,5,0
2025,Tamil Nadu,Kallakurichi,Water-borne,24,0
2025,Tamil Nadu,Kallakurichi,Other,11,0
2025,Tamil Nadu,Sivaganga,Other,12,0
2025,Tamil Nadu,Sivaganga,Water-borne,5,0
2025,Tamil Nadu,Thiruvallur,Vector-borne,11,0
2025,Tamil Nadu,Tiruchirappalli,Other,7,0
2025,Tamil Nadu,Virudhunagar,Water-borne,21,0
2025,Uttarakhand,Dehradun,Food-borne,383,0
2025,Uttarakhand,Haridwar,Food-borne,34,0
2025,West Bengal,Purba Barshaman,Water-borne,23,0
2025,Bihar,Purbi Champaran,Other,6,0
2025,Manipur,Churachandpur,Other,3,3
2025,Odisha,Koraput,Other,21,0
2025,Uttar Pradesh,Agra,Other,25,0
2025,Assam,Jorhat,Water-borne,13,0
2025,Assam,Lakhimpur,Food-borne,38,0
2025,Bihar,Sitamarhi,Food-borne,40,0
2025,Chhattisgarh,Raipur,Water-borne,13,0
2025,Gujarat,Anand,Water-borne,49,0
2025,Haryana,Kurukshetra,Water-borne,12,0
2025,Jammu and Kashmir,Ganderbal,Water-borne,12,0
2025,Jammu and Kashmir,Kulgam,Water-borne,11,0
2025,Jharkhand,Bokaro,Other,6,0
2025,Jharkhand,Dumka,Other,7,0
2025,Jharkhand,East Singhbhum,Other,5,0
2025,Jharkhand,Khunti,Other,3,0
2025,Jharkhand,Khunti,Other,12,0
2025,Jharkhand,Ranchi,Other,5,0
2025,Jharkhand,West Singhbhum,Water-borne,20,0
2025,Kerala,Ernakulam,Water-borne,16,0
2025,Kerala,Idukki,Food-borne,55,0
2025,Kerala,Idukki,Water-borne,42,0
2025,Kerala,Kannur,Water-borne,35,0
2025,Kerala,Kannur,Water-borne,29,0
